index	speaker	sentiment	movingave(bin 20)	text	movingave
527		Very Negative	0.054054	[She crosses through portieres and draws them together behind her.	0.131570348
528		Neutral	0	TOM is left with LAURA.	0.077516348
529		Neutral	0	LAURA Clings weakly to the mantel with her face averted.	0.077516348
530		Neutral	0	TOM stares at her stupidly for a moment.	0.077516348
531		Neutral	-0.054054	Then he crosses to shelf.	0.023462348
532		Negative	-0.081081	"Drops awkwardly on his knees to collect the fallen glass, glancing at LAURA as if he would speak but couldn't.]"	-0.003564652
533		None	-0.054054	'The Glass Menagerie' steals in as	0.023462348
534		None	-0.054054	 	0.023462348
535		None	-0.054054	THE SCENE DIMS OUT	0.023462348
536		None	-0.081081	SCENE 4.	-0.003564652
537		Positive	-0.081081	The interior is dark.	-0.003564652
538		Neutral	-0.13514	Faint light in the alley.	-0.057623652
539		Positive	-0.10811	A deep-voiced bell in a church is tolling the hour of five as the scene commences.	-0.030593652
540		Neutral	-0.10811	[Tom appears at the top of the alley.	-0.030593652
541		Negative	-0.081081	"After each solemn boom of the bell in the tower, he shakes a little noise-maker or rattle as if to express the tiny spasm of man in contrast to the sustained power and dignity of the Almighty."	-0.003564652
542		Neutral	-0.054054	This and the unsteadiness of his advance make it evident that he has been drinking.	0.023462348
543		Positive	-0.081081	As he climbs Me few steps to the fire-escape landing light steals up inside.	-0.003564652
544		Negative	0	Laura appears in night-dress observing Tom's empty bed in the front room.	0.077516348
545		Neutral	0	"TOM fishes in his pockets for door-key removing a motley assortment of articles in the search, including a perfect shower of movie-ticket stubs and an empty bottle."	0.077516348
546		Negative	0.027027	"At last he finds the key, but just as he is about to insert it, it slips from his fingers."	0.104543348
547		Neutral	0.027027	He strikes a match and crouches below the door.]	0.104543348
548	Tom	Negative	0.10811	TOM [bitterly]:: One crack -and it falls through !	0.185626348
549		Neutral	0.13514	[LAURA opens the door.]	0.212656348
550	Laura	Neutral	0.10811	LAURA: Tom !	0.185626348
551	Laura	Neutral	0.10811	"Tom, what are you doing?"	0.185626348
552	Tom	Neutral	0.10811	TOM: Looking for a door-key.	0.185626348
553	Laura	Neutral	0.10811	LAURA: Where have you been all this time?	0.185626348
554	Tom	Neutral	0.13158	TOM: I have been to the movies.	0.209096348
555	Laura	Neutral	0.076923	LAURA: All this time at the movies?	0.154439348
556	Tom	Neutral	0.05	TO M: There was a very long programme.	0.127516348
557	Tom	Positive	0.04878	There was a Garbo picture and a Mickey Mouse and a travelogue and a newsreel and a preview of coming attractions.	0.126296348
558	Tom	Negative	0.02439	And there was an organ solo and a collection for the milk-fund - simultaneously - which ended up in a terrible fight between a fat lady and an usher !	0.101906348
559	Laura	Neutral	0.02439	LAURA [innocently]: Did you have to stay through everything?	0.101906348
560	Tom	Neutral	-0.02439	TOM: Of course !	0.053126348
561	Tom	Positive	-0.02439	"And, oh, I forgot !"	0.053126348
562	Tom	Positive	0	There was a big stage show !	0.077516348
563	Tom	Neutral	-0.02439	The headliner on this stage show was Malvolio the Magician.	0.053126348
564	Tom	Very Positive	-0.04878	"He performed wonderful tricks, many of them, such as pouriing water back and forth between pitchers."	0.028736348
565	Tom	Neutral	-0.04878	First it turned to wine and then it turned to beer and then it turned to whisky.	0.028736348
566	Tom	Positive	-0.073171	"I knew it was whisky it finally turned into because he needed somebody to come up out of the audience to help him, and I came up - both shows !"	0.004345348
567	Tom	Neutral	-0.04878	It was Kentucky Straight Bourbon.	0.028736348
568	Tom	Positive	-0.04878	"A very generous fellow, he gave souvenirs."	0.028736348
569		Positive	-0.02439	(He pulls from his back pocket a shimmering rainbow-coloured scarf.)	0.053126348
570	Tom	Negative	-0.04878	He gave me this.	0.028736348
571	Tom	Neutral	-0.04878	This is his magic scarf.	0.028736348
572	Tom	Neutral	-0.04878	"You can have it, Laura."	0.028736348
573	Tom	Negative	-0.04878	You wave it over a canary cage and you get a bowl of gold fish.	0.028736348
574	Tom	Positive	-0.04878	You wave it over the gold-fish bowl and they fly away canaries. . . . But the wonderfullest trick of all was the coffin trick.	0.028736348
575	Tom	Very Negative	-0.04878	"We nailed him into a coffin and he got out of the coffin without rernoving one nail, [He has come inside.]"	0.028736348
576	Tom	Negative	-0.04878	There is a trick that would come in handy for me - get me out of this 2 by 4 situation !	0.028736348
577		Neutral	-0.04878	[Flops on to a bed and starts removing shoes.]	0.028736348
578	Laura	Neutral	-0.073171	LAURA: Tom ?	0.004345348
579	Laura	Neutral	-0.04878	Shhh'!	0.028736348
580	Tom	Negative	-0.04878	TO M: What're you shushing me for?	0.028736348
581	Laura	Neutral	-0.04878	LAURA: You'll wake up mother.	0.028736348
582	Tom	Neutral	-0.073171	"TOM: Goody, goody !"	0.004345348
583	Tom	Negative	-0.073171	Pay 'er back for all those 'Rise an' Shines'.	0.004345348
584		Neutral	-0.073171	"[Lies down, groaning.]"	0.004345348
585	Tom	Negative	-0.12195	"You know it don't take much intelligence to get yourself into a nailed-up coffin, Laura."	-0.044433652
586	Tom	Negative	-0.12195	But who in hell ever got himself out of one without removing one nail?	-0.044433652
587		Neutral	-0.14634	"[As if in answer, the father's grinning photograph lights up.]"	-0.068823652
588		Neutral	-0.14634	[SCENE DIMS OUT.]	-0.068823652
589		Neutral	-0.17073	[Immediately following: The church bell is heard striking six.	-0.093213652
590		Negative	-0.21951	"At the sixth stroke the alarm clock goes off in AMANDA's room, and after a few moments we hear her calling ""Rise and Shine!"	-0.141993652
591		Neutral	-0.21951	Rise and Shine!	-0.141993652
592		Neutral	-0.21951	"Laura, go tell your brother to rise and shine!']"	-0.141993652
593	Tom	Neutral	-0.19512	TOM [sitting up slowly]: I'll rise -but I won't shine.	-0.117603652
594		Neutral	-0.17073	[The light increases.]	-0.093213652
595	Amanda	Neutral	-0.19512	"AMANDA: Laura, tell your brother his coffee is ready."	-0.117603652
596		Neutral	-0.14634	[LAURA slips into front room.]	-0.068823652
597	Laura	Neutral	-0.097561	LAURA: Tom!	-0.020044652
598	Laura	Neutral	-0.097561	- It's nearly seven.	-0.020044652
599	Laura	Neutral	-0.12195	Don't make mother nervous.	-0.044433652
600		Neutral	-0.097561	[He stares at her stupidly.	-0.020044652
601		Neutral	-0.073171	Beseechingly.]	0.004345348
602	Laura	Neutral	-0.073171	"Tom, speak to mother this morning."	0.004345348
603	Laura	Positive	-0.073171	"Make up with her, apologize, speak to her !"	0.004345348
604	Tom	Neutral	-0.04878	TOM: She won't to me.	0.028736348
605	Tom	Neutral	-0.04878	It's her that started not speaking.	0.028736348
606	Laura	Neutral	-0.02439	LAURA: If you just say you're sorry she'll start speaking.	0.053126348
607	Tom	Neutral	0	TOM: Her not speaking - is that such a tragedy?	0.077516348
608	Laura	Neutral	0	LAURA: Please - please !	0.077516348
609	Amanda	Neutral	0.02439	"AMANDA [calling from kitchenette]: Laura, are you going to do what I asked you to do, or do I have to get dressed and go out myself?"	0.101906348
610	Laura	Negative	0.04878	"LAURA: Going, going - soon as I get on my coat !"	0.126296348
611		Negative	0.04878	"[She pulls on a shapeless felt hat with nervous, jerky movement, pleadingly glancing at TOM."	0.126296348
612		Neutral	0.04878	Rushes awkwardly for coat.	0.126296348
613		Positive	0.04878	"The coat is one of AMANDA's, inaccurately made-over the sleeves too short for LAURA.]"	0.126296348
614	Laura	Neutral	0.02439	Butter and what else?	0.101906348
615	Amanda	Neutral	0.04878	AMANDA [centering upstage]: Just butter.	0.126296348
616	Amanda	Neutral	0.04878	Tell them to charge it.	0.126296348
617	Laura	Positive	0.04878	"LAURA: Mother, they make such faces when I do that."	0.126296348
618	Amanda	Neutral	0.02439	"AMANDA: Sticks and stones can break our bones, but the expression on Mr Garfinkel's face won't harm us !"	0.101906348
619	Amanda	Negative	0	Tell your brother his coffee is getting cold.	0.077516348
620	Laura	Positive	0	"LAURA [at door]: Do what I asked you, will you, will you,TOM?"	0.077516348
621		Neutral	0	[He looks sullenly away.]	0.077516348
622	Amanda	Neutral	0.02439	"AMANDA: Laura, go now or just don't go at all !"	0.101906348
623	Laura	Neutral	0.02439	LAURA [rushing out]: Going -going!	0.101906348
624		Neutral	0.02439	[A second later she cries Out.	0.101906348
625		Neutral	0	TOM Springs up and crosses to door.	0.077516348
626		Neutral	0	AMANDA rushes anxiously in.	0.077516348
627		Neutral	-0.02439	TOM opens the door.]	0.053126348
628	Tom	Neutral	-0.02439	TOM: Laura?	0.053126348
629	Laura	Positive	-0.02439	LAURA: I'm all right.	0.053126348
630	Laura	Positive	-0.02439	"I slipped, but I'm all right."	0.053126348
631	Amanda	Negative	0	"AMANDA [peering anxiously after her]: If anyone breaks a leg on those fire-escape steps, the landlord ought to be sued for every cent he possesses !"	0.077516348
632		Neutral	0	[She shuts door.	0.077516348
633		Neutral	0.02439	Remembers she isn't speaking and returns to other room.]	0.101906348
634		Negative	0	[As TOM enters listlessly for his coffee she turns her back to him and stands rigidly facing the window on the gloomy gray vault of the areaway.	0.077516348
635		Positive	-0.02439	"Its light on her face with its aged but childish features is cruelly sharp, satirical as a Daumier print."	0.053126348
636		Neutral	0	MUSIC UNDER: 'AVE MARIA'.	0.077516348
637		Neutral	0	TOM glances sheepishly but sullenly at her averted figure and slumps at the table.	0.077516348
638		Negative	-0.04878	The coffee is scalding hot; he sips it and gasps and spits it back in the cup.	0.028736348
639		Negative	-0.073171	"At his gasp, AMANDA catches her breath and half turns."	0.004345348
640		Neutral	-0.04878	Then catches herself and turns back to window.	0.028736348
641		Neutral	-0.04878	"Tom blows on his coffee, glancing sidewise at his mother."	0.028736348
642		Positive	-0.073171	She clears her throat.	0.004345348
643		Neutral	-0.097561	TOM clears his.	-0.020044652
644		Positive	-0.04878	He starts to rise.	0.028736348
645		Negative	-0.073171	"Sinks back down again, scratches his head, clears his throat again."	0.004345348
646		Neutral	-0.04878	AMANDA Coughs.	0.028736348
647		Negative	-0.073171	TOM raises his cup in both hands to blow on it - his eyes staring over the rim of it at his mother for several moments.	0.004345348
648		Neutral	-0.04878	Then he slowly sets the cup down and awkwardly and hesitantly rises from the chair.]	0.028736348
649	Tom	Neutral	-0.073171	TOM [hoarsely]: Mother.	0.004345348
650		Neutral	-0.097561	!	-0.020044652
651		Neutral	-0.12195		-0.044433652
652		Negative	-0.097561	"[AMANDA draws a quick, shuddering breath."	-0.020044652
653		Positive	-0.12195	Her face works grotesquely.	-0.044433652
654		Neutral	-0.12195	She breaks into childlike tears.]	-0.044433652
655	Tom	Negative	-0.097561	"I'm sorry for what I said, for everything that I said; I didn't mean it."	-0.020044652
656	Amanda	Positive	-0.12195	AMANDA [sobbingly]: My devotion has made me a witch and so I make myself hateful to my children !	-0.044433652
657	Tom	Neutral	-0.12195	"TOM: NO, you don't."	-0.044433652
658	Amanda	Negative	-0.14634	"AMANDA: I worry so much, don't sleep, it makes me nervous!"	-0.068823652
659	Tom	Negative	-0.14634	TOM [gently]: I understand that.	-0.068823652
660	Amanda	Neutral	-0.14634	AMANDA: I've had to put up a solitary battle all these years.	-0.068823652
661	Amanda	Positive	-0.14634	But you're my right-hand bower !	-0.068823652
662	Amanda	Negative	-0.14634	"Don't fall down, don't fail !"	-0.068823652
663	Tom	Negative	-0.17073	"TOM [gently]: I try, Mother."	-0.093213652
664	Amanda	Very Positive	-0.14634	AMANDA [with great enthusiasm]: Try and you will succeed !	-0.068823652
665		Negative	-0.17073	"[ The notion makes her breathless] Why, you -you're just full of natural endowments !"	-0.093213652
666	Amanda	Positive	-0.17073	Both of my children - they're unusual children !	-0.093213652
667	Amanda	Negative	-0.19512	Don't you think I know it?	-0.117603652
668	Amanda	Positive	-0.17073	I'm so proud!	-0.093213652
669	Amanda	Negative	-0.14634	"Happy and - feel I've - so much to be thankful for but - Promise me one thing, Son !"	-0.068823652
670	Tom	Neutral	-0.14634	"TOM: What, Mother?"	-0.068823652
671	Amanda	Neutral	-0.17073	"AMANDA: Promise, Son, you'll - never be a drunkard !"	-0.093213652
672	Tom	Neutral	-0.17073	"TOM [turns to her grinning]: I will never be a drunkard, Mother."	-0.093213652
673	Amanda	Negative	-0.14634	"AMANDA: That's what frightened me so, that you'd be drinking !"	-0.068823652
674	Amanda	Neutral	-0.17073	Eat a bowl of Purina !	-0.093213652
675	Tom	Neutral	-0.17073	"TOM: Just Coffee, Mother."	-0.093213652
676	Amanda	Neutral	-0.14634	AMANDA: Shredded wheat biscuit?	-0.068823652
677	Tom	Neutral	-0.175	Tom: No.	-0.097483652
678	Tom	Negative	-0.17949	"No, Mother, just coffee."	-0.101973652
679	Amanda	Negative	-0.15385	AMANDA: You can't put in a day's work on an empty stomach.	-0.076333652
680	Amanda	Negative	-0.13158	You've got ten minutes - don't gulp !	-0.054063652
681	Amanda	Neutral	-0.13514	Drinking too hot liquids makes cancer of the stomach.	-0.057623652
682	Amanda	Neutral	-0.18919	Put cream in.	-0.111673652
683	Tom	Neutral	-0.13514	"TOM: No, thank you."	-0.057623652
684	Amanda	Positive	-0.081081	AMANDA: To cool it.	-0.003564652
685	Tom	Neutral	-0.13514	TOM: No!	-0.057623652
686	Tom	Negative	-0.081081	"No, thank you, I want it black."	-0.003564652
687	Amanda	Negative	-0.10811	"AMANDA: I know, but it's not good for you."	-0.030593652
688	Amanda	Neutral	-0.081081	We have to do all that we can to build ourselves up.	-0.003564652
689	Amanda	Positive	-0.10811	"In these trying times we live in, all that we have to cling to is - each other. . . . That's why it's so important to - Tom, !"	-0.030593652
690	Amanda	Neutral	-0.054054		0.023462348
691	Amanda	Negative	-0.054054	If you hadn't spoken I would have spoken to you.	0.023462348
692		Neutral	-0.054054	[Sits down.]	0.023462348
693	Tom	Neutral	-0.054054	"TOM [gently]: What is it, Mother, that you want to discuss?"	0.023462348
694	Amanda	Neutral	-0.027027	AMANDA: Laura!	0.050489348
695		Neutral	-0.054054	[Tom puts his cup down slowly.	0.023462348
696		Neutral	-0.081081	LEGEND ON SCREEN: 'LAURA.'	-0.003564652
697		None	-0.054054	MUSIC: ' THE GLASS MENAGERIE']	0.023462348
698		None	-0.027027	 	0.050489348
699	Tom	Neutral	0	TOM: - Oh.	0.077516348
700	Tom	None	0.054054	- Laura ...	0.131570348
701		None	0.081081	 	0.158597348
702	Amanda	Negative	0.054054	AMANDA [touching his sleeve] You know how Laura is.	0.131570348
703	Amanda	Positive	0.054054	So quiet but - still water runs deep !	0.131570348
704	Amanda	Positive	0.054054	She notices things and I think she - broods about them.	0.131570348
705		Neutral	0.027027	[Tom looks up.]	0.104543348
706	Amanda	Positive	0.054054	A few days ago I came in and she was crying.	0.131570348
707	Tom	Neutral	0.10811	TOM: What about?	0.185626348
708	Amanda	Neutral	0.16216	AMANDA: YOU.	0.239676348
709	Tom	Neutral	0.13514	TOM: Me?	0.212656348
710	Amanda	Positive	0.10811	AMANDA: She has an idea that you're not happy here.	0.185626348
711	Tom	Neutral	0.10811	TOM: What gave her that idea?	0.185626348
712	Amanda	Neutral	0.10811	AMANDA: What gives her any idea?	0.185626348
713	Amanda	Neutral	0.13514	"However, you do act strangely."	0.212656348
714	Amanda	Neutral	0.16216	!	0.239676348
715	Amanda	Negative	0.13514	"- I'm not criticizing, understand that!"	0.212656348
716	Amanda	Negative	0.16216	"I know your ambitions do not lie in the warehouse, that like everybody in the whole wide world - you've had to make sacrifices, but - Tom - Tom - life's not easy, it calls for - Spartan endurance !"	0.239676348
717	Amanda	Positive	0.13514	There's so many things in my heart that I cannot describe to you !	0.212656348
718	Amanda	Positive	0.13158	I've never told you but - I loved your father.	0.209096348
719	Tom	Neutral	0.12821	"TOM [gently] : I know that, Mother."	0.205726348
720	Amanda	Positive	0.15385	AMANDA: And you - when I see you taking after his ways !	0.231366348
721	Amanda	Neutral	0.15	"Staying out late - and - well, you had been drinking the night you were in that - terrifying condition !"	0.227516348
722	Amanda	Negative	0.17073	Laura says that you hate the apartment and that you go out nights to get away from it!	0.248246348
723	Amanda	Neutral	0.19512	"Is that true, Tom?"	0.272636348
724	Tom	Neutral	0.17073	TOM: No.	0.248246348
725	Tom	Neutral	0.12195	You say there's so much in your heart that you can't describe to me.	0.199466348
726	Tom	Positive	0.097561	"That's true of me, too."	0.175077348
727	Tom	Positive	0.073171	"There's so much in my heart that I can't describe to""you!"	0.150687348
728	Tom	Positive	0.073171	So let's respect each other's -.	0.150687348
729	Amanda	Negative	0.073171	"AMANDA: But, why - why, Tom - am you always so restless?"	0.150687348
730	Amanda	Neutral	0.097561	"Where do you go to, nights?"	0.175077348
731	Tom	Neutral	0.073171	TOM: I - go to the movies.	0.150687348
732	Amanda	Negative	0.073171	"AMANDA: Why do you go to the movies so much, Tom?"	0.150687348
733	Tom	Positive	0.073171	TO M: I go to the movies because - I like adventure.	0.150687348
734	Tom	Positive	0.097561	"Adventure is something I don't have much of at work, so I go to the movies."	0.175077348
735	Amanda	Negative	0.097561	"AMANDA: But, Tom, you go to the movies entirely too much !"	0.175077348
736	Tom	Positive	0.12195	TOM: I like a lot of adventure.	0.199466348
737		Negative	0.14634	"[AMANDA looks baffled, then hurt As the familiar inquisition resumes he becomes hard and impatient again."	0.223856348
738		Neutral	0.12195	AMANDA SLIPS back into her querulous attitude towards him.	0.199466348
739		Neutral	0.097561	IMAGE ON SCREEN: SAILING VESSEL WITH JOLLY ROGER.]	0.175077348
740	Amanda	Positive	0.097561	AMANDA: Most young men find adventure in their careers.	0.175077348
741	Tom	Neutral	0.04878	TOM: Then most young men are not employed in a warehouse.	0.126296348
742	Amanda	Positive	0.02439	AMANDA: The world is full of young men employed in warehouses and offices and factories.	0.101906348
743	Tom	Neutral	0.04878	TOM: Do all of them find adventure in their careers?	0.126296348
744	Amanda	Neutral	0.04878	AMANDA: They do or they do without it!	0.126296348
745	Amanda	Negative	0.04878	Not everybody has a craze for adventure.	0.126296348
746	Tom	Negative	0.04878	"TOM: Man is by instinct a lover, a hunter, a fighter, and none of those instincts are given much play at the warehouse !"	0.126296348
747	Amanda	Neutral	0.04878	AMANDA: Man is by instinct!	0.126296348
748	Amanda	Neutral	0.02439	Don't quote instinct to me!	0.101906348
749	Amanda	Neutral	0	Instinct is something that people have got away from !	0.077516348
750	Amanda	Positive	0.02439	It belongs to animals !	0.101906348
751	Amanda	Neutral	0	Christian adults don't want it !	0.077516348
752	Tom	Neutral	-0.02439	"TOM: , What do Christian adults want, then, Mother?"	0.053126348
753	Amanda	Neutral	0	AMANDA: Superior things!	0.077516348
754	Amanda	Positive	-0.04878	Things of the mind and the spirit !	0.028736348
755	Amanda	Neutral	-0.097561	Only animals have to satisfy instincts !	-0.020044652
756	Amanda	Neutral	-0.073171	Surely your aims are somewhat higher than theirs !	0.004345348
757	Amanda	Neutral	-0.12195	Than monkeys - pigs.	-0.044433652
758	Tom	Neutral	-0.097561	TOM: I reckon they're not.	-0.020044652
759	Amanda	Neutral	-0.12195	AMANDA: You're joking.	-0.044433652
760	Amanda	Neutral	-0.14634	"However, that isn't what I wanted to discuss."	-0.068823652
761	Tom	Negative	-0.17073	TOM [rising] I haven't much time.	-0.093213652
762	Amanda	Negative	-0.17073	AMANDA [pushing his shoulders] Sit down.	-0.093213652
763	Tom	Neutral	-0.17073	"TOM: You want me to punch in red at the warehouse, Mother?"	-0.093213652
764	Amanda	Neutral	-0.17073	AMANDA: You have five minutes.	-0.093213652
765	Amanda	Neutral	-0.17073	I want to talk about Laura.	-0.093213652
766		Neutral	-0.17073	[LEGEND: 'PLANS AND PROVISIONS'.]	-0.093213652
767	Tom	Positive	-0.12195	TOM: All right!	-0.044433652
768		Neutral	-0.12195	What about Laura?	-0.044433652
769	Amanda	Neutral	-0.14634	AMANDA: We have to be making some plans and provisions for her.	-0.068823652
770	Amanda	Neutral	-0.14634	"She's older than you, two years, and nothing has happened."	-0.068823652
771	Amanda	Negative	-0.17073	She just drifts along doing nothing.	-0.093213652
772	Amanda	Negative	-0.19512	It frightens me terribly how she just drifts along.	-0.117603652
773	Tom	Neutral	-0.17073	TOM: I guess she's the type that people call home girls.	-0.093213652
774	Amanda	Negative	-0.19512	"AMANDA: There's no such type, and if there is, it's a pity !"	-0.117603652
775	Amanda	Negative	-0.2439	"That is unless the home is hers, with a husband !"	-0.166383652
776	Tom	Neutral	-0.2439	TOM: What?	-0.166383652
777	Amanda	Negative	-0.2439	"AMANDA: Oh, I can see the handwriting on the wall as plain as I see the nose in front of my face !"	-0.166383652
778	Amanda	Neutral	-0.2439	It's terrifying !	-0.166383652
779	Amanda	Negative	-0.21951	More and more you remind me of your father !	-0.141993652
780	Amanda	Negative	-0.2439	He was out all hours without explanation !	-0.166383652
781	Amanda	Neutral	-0.21951	- Then left !	-0.141993652
782	Amanda	Neutral	-0.19512	Good-bye !	-0.117603652
783	Amanda	Positive	-0.17073	And me with the bag to hold.	-0.093213652
784	Amanda	Neutral	-0.17073	I saw that letter you got from the Merchant Marine.	-0.093213652
785	Amanda	Neutral	-0.17073	I know what you're dreaming of.	-0.093213652
786	Amanda	Negative	-0.19512	I'm not standing here blindfolded.	-0.117603652
787	Amanda	Positive	-0.19512	"Very well, then."	-0.117603652
788	Amanda	Neutral	-0.21951	"Then, do it !"	-0.141993652
789	Amanda	Negative	-0.21951	But not till there's somebody to take your place.	-0.141993652
790	Tom	Neutral	-0.21951	TOM: What do you mean?	-0.141993652
791	Amanda	Neutral	-0.2439	"AMANDA: I mean that as soon as Laura has got somebody to take care of her, married, a home of her own, independent ?"	-0.166383652
792	Amanda	Negative	-0.2439	"- why, then you'll be free to go wherever you please, on land, on sea, whichever way the wind blows you !"	-0.166383652
793	Amanda	Positive	-0.21951	But until that time you've got to look out for your sister.	-0.141993652
794	Amanda	Negative	-0.21951	I don't say me because I'm old and don't matter - I say for your sister because she's young and dependent.	-0.141993652
795	Amanda	Negative	-0.19512	I put her in business college - a dismal failure !	-0.117603652
796	Amanda	Neutral	-0.17073	Frightened her so it made her sick at the stomach.	-0.093213652
797	Amanda	Neutral	-0.17073	I took her over to the Young Peoples League at the church.	-0.093213652
798	Amanda	Neutral	-0.17073	Another fiasco.	-0.093213652
799	Amanda	Positive	-0.17073	"She spoke to nobody, nobody spoke to her."	-0.093213652
800	Amanda	Negative	-0.14634	Now all she does is fool with those pieces of glass and play those worn-out records.	-0.068823652
801	Amanda	Positive	-0.12195	What kind of a life is that for a girl to lead?	-0.044433652
802	Tom	Neutral	-0.12195	TOM: What can I do about it?	-0.044433652
803	Amanda	Neutral	-0.12195	AMANDA: Overcome Selfishness !	-0.044433652
804	Amanda	Neutral	-0.14634	"Self, self, self is all that you ever think of !"	-0.068823652
805		Neutral	-0.14634	[Tom springs up and crosses to got his coat.	-0.068823652
806		Negative	-0.14634	It is ugly and bulky He pulls on a cap with earmuffs.]	-0.068823652
807	Amanda	Neutral	-0.12195	Where is your muffler?	-0.044433652
808	Amanda	Neutral	-0.14634	Put your wool muffler on !	-0.068823652
809		Neutral	-0.14634	[He snatches it angrily from the closet and tosses it around his neck and pulls both ends tight.]	-0.068823652
810	Amanda	Neutral	-0.097561	Tom !	-0.020044652
811	Amanda	Negative	-0.097561	I haven't said what I had in mind to ask you.	-0.020044652
812	Tom	Negative	-0.097561	TOM: I'm too late to.	-0.020044652
813	Amanda	Neutral	-0.073171	AMANDA [catching his arm - very importunately.	0.004345348
814	Amanda	Neutral	-0.097561	"Then shyly]: Down at the warehouse, aren't there some - nice young men?"	-0.020044652
815	Tom	Neutral	-0.073171	TOM: No !	0.004345348
816	Amanda	Neutral	-0.04878	AMANDA: There must be - some.	0.028736348
817	Tom	Neutral	-0.04878	TOM: Mother [Gesture.]	0.028736348
818	Amanda	Negative	-0.04878	AMANDA: Find out one that's clean-living - doesn't drink and - ask him out for sister !	0.028736348
819	Tom	Neutral	-0.05	TOM: What?	0.027516348
820	Amanda	Neutral	-0.076923	AMANDA: For sister !	0.000593348
821	Amanda	Neutral	-0.051282	To meet !	0.026234348
822	Amanda	Neutral	-0.076923	Get acquainted.	0.000593348
823	Tom	Neutral	-0.051282	"TOM [stamping to door]: Oh, my go- osh !"	0.026234348
824	Amanda	Neutral	-0.076923	AMANDA: Will you?	0.000593348
825		Neutral	-0.10256	[He opens door.	-0.025043652
826		Neutral	-0.10256	Imploringly.]	-0.025043652
827	Amanda	Neutral	-0.10256	Will you?	-0.025043652
828		Neutral	-0.076923	[He starts down.]	0.000593348
829	Amanda	Neutral	-0.051282	Will you?	0.026234348
830	Amanda	Positive	-0.025641	"Will you, dear?"	0.051875348
831	Tom	Neutral	-0.026316	TOM [calling back]: YES !	0.051200348
832		Neutral	0	[AMANDA closes the door hesitantly and with a troubled but faintly hopeful expression.	0.077516348
833		Neutral	0.027027	SCREEN IMAGE: GLAMOUR MAGAZINE COVER.	0.104543348
834		Neutral	0.027027	Spot AMANDA at phone.]	0.104543348
835	Amanda	Neutral	0.027027	AMANDA: Ella Cartwright?	0.104543348
836	Amanda	Neutral	0.027027	This is Amanda Wingfield !	0.104543348
837	Amanda	Neutral	0	"How are you, honey?"	0.077516348
838	Amanda	Neutral	0.027027	How is that kidney condition?	0.104543348
839		None	0.054054	[Count Five]	0.131570348
840		None	0.054054	 	0.131570348
841		Neutral	0.054054	Horrors!	0.131570348
842		Neutral	0.081081	[Count five.]	0.158597348
843	Amanda	Positive	0.081081	"You're a Christian martyr, yes, honey, that's what you are, a Christian martyr!"	0.158597348
844	Amanda	Negative	0.081081	"Well, I just now happened to notice in my little red book that your subscription to the Companion has just run out!"	0.158597348
845	Amanda	Negative	0.054054	I knew that you wouldn't want to miss out on the wonderful serial starting in this issue.	0.131570348
846	Amanda	Neutral	0.081081	"It's by Bessie Mae Hopper, the first thing she's written since Honeymoon for Three."	0.158597348
847	Amanda	Negative	0.10811	Wasn't that a strange and interesting story?	0.185626348
848	Amanda	Positive	0.081081	"Well, this one is even lovelier, I believe."	0.158597348
849	Amanda	Positive	0.081081	"It has a sophisticated, society background."	0.158597348
850	Amanda	Positive	0.054054	It's all about the horsy set on Long Island!	0.131570348
851		None	0	FADE OUT	0.077516348
852		None	0.027027	SCENE 5.	0.104543348
853		Neutral	0.027027	LEGEND ON SCREEN: 'ANNUNCIATION'.	0.104543348
854		Neutral	0.027027	Fade With music.	0.104543348
855		Neutral	0.054054	[It is early dusk on a spring evening.	0.131570348
856		Neutral	0.081081	Supper has jot been finished in the Wingfield apartment.	0.158597348
857		Negative	0.13514	"AMANDA and LAURA in light-coloured dresses are removing dishes from the table, in the upstage area, which is shadowy, their movements formalized almost as a dance or ritual their moving forms as pale and silent as moths."	0.212656348
858		Positive	0.13514	"TOM, in white shirt and trousers, rises from do table and crosses toward the fire-escape.]"	0.212656348
859	Amanda	Neutral	0.10811	"AMANDA [As he passes her]: Son, Will you do me a favour?"	0.185626348
860	Tom	Neutral	0.078947	TOM: What?	0.156463348
861	Amanda	Neutral	0.076923	AMANDA: Comb your hair!	0.154439348
862	Amanda	Positive	0.051282	You look so pretty when your hair is combed!	0.128798348
863		Neutral	0.051282	[Tom slouches on sofa with evening paper.	0.128798348
864		Neutral	0	Enormous caption 'Franco Triumphs'.]	0.077516348
865		Negative	0.051282	There is only one respect in which I would like you to emulate your father.	0.128798348
866	Tom	Positive	0.076923	TOM: What respect is that?	0.154439348
867	Amanda	Positive	0.076923	AMANDA: The care he always took of his appearance.	0.154439348
868	Amanda	Negative	0.10256	He never allowed himself to look untidy.	0.180076348
869		Neutral	0.076923	[He throws down the paper and crosses to fire-escape] Where are you going?	0.154439348
870	Tom	Negative	0.051282	TOM: I'm going out to smoke.	0.128798348
871	Amanda	Negative	0	AMANDA: You smoke too much.	0.077516348
872	Amanda	Positive	-0.025	A pack a day at fifteen cents a pack.	0.052516348
873	Amanda	Neutral	-0.02439	How much would that amount to in a month?	0.053126348
874	Amanda	Neutral	-0.02439	"Thirty times fifteen is how much, Tom?"	0.053126348
875	Amanda	Positive	-0.02439	Figure it out and you will be astounded at what you could save.	0.053126348
